Claim ID,Claim Value,Injury Cost Portion,Property Damage Portion,Incident Time,Policy Tenure,Annual Premium,Vehicle Age,Insured Age,Capital Gains,Capital Losses,Umbrella Limit,Bodily Injuries,Vehicles Involved,Days Since Policy Start,Police Report Available,Incident Severity,Collision Type,Authorities Contacted
C0935,8000,0.0,0.1,10,490,1900,24,68,0,0,0,0,1,3000,YES,Trivial Damage,Rear Collision,Police
C0936,60000,0.35,0.3,16,110,1000,6,40,0,-8000,1000000,1,2,540,YES,Major Damage,Rear Collision,Police
C0937,7000,0.0,0.05,15,500,2000,25,70,0,0,0,0,1,3000,YES,Trivial Damage,Rear Collision,Police
C0938,91000,0.45,0.35,0,24,850,2,31,0,-45000,5000000,3,3,270,NO,Major Damage,Side Collision,Ambulance
C0939,98000,0.1,0.7,2,12,600,1,21,0,0,0,3,1,90,NO,Total Loss,Front Collision,
C0940,9000,0.0,0.1,17,480,1800,22,67,0,0,0,0,1,3000,?,Trivial Damage,?,
C0941,18000,0.05,0.2,14,220,1200,8,42,0,0,0,0,1,1500,YES,Minor Damage,Rear Collision,Police
C0942,7000,0.0,0.05,15,500,2000,25,70,0,0,0,0,1,3000,YES,Trivial Damage,Rear Collision,Police
C0943,52000,0.3,0.3,21,60,950,9,39,5000,0,1000000,1,2,540,NO,Major Damage,Front Collision,Fire
C0944,64000,0.4,0.25,19,90,1100,6,34,20000,0,5000000,1,3,540,YES,Major Damage,Rear Collision,Ambulance
C0945,18000,0.05,0.2,14,220,1200,8,42,0,0,0,0,1,1500,YES,Minor Damage,Rear Collision,Police
C0946,7000,0.0,0.05,15,500,2000,25,70,0,0,0,0,1,3000,YES,Trivial Damage,Rear Collision,Police
C0947,82000,0.4,0.35,22,48,880,5,33,12000,0,5000000,2,2,540,NO,Major Damage,Front Collision,Fire
C0948,91000,0.45,0.35,0,24,850,2,31,0,-45000,5000000,3,3,270,NO,Major Damage,Side Collision,Ambulance
C0949,22000,0.15,0.15,9,300,1400,14,55,0,-5000,0,1,2,3000,YES,Minor Damage,Rear Collision,Police
C0950,16000,0.05,0.15,13,260,1500,13,50,0,0,0,0,1,1500,YES,Minor Damage,Side Collision,Police
C0951,7000,0.0,0.05,15,500,2000,25,70,0,0,0,0,1,3000,YES,Trivial Damage,Rear Collision,Police
C0952,91000,0.45,0.35,0,24,850,2,31,0,-45000,5000000,3,3,270,NO,Major Damage,Side Collision,Ambulance
C0953,91000,0.45,0.35,0,24,850,2,31,0,-45000,5000000,3,3,270,NO,Major Damage,Side Collision,Ambulance
C0954,64000,0.4,0.25,19,90,1100,6,34,20000,0,5000000,1,3,540,YES,Major Damage,Rear Collision,Ambulance
C0955,75000,0.35,0.4,23,36,900,3,29,0,-15000,1000000,2,2,270,NO,Major Damage,Side Collision,Police
C0956,64000,0.4,0.25,19,90,1100,6,34,20000,0,5000000,1,3,540,YES,Major Damage,Rear Collision,Ambulance
C0957,16000,0.05,0.15,13,260,1500,13,50,0,0,0,0,1,1500,YES,Minor Damage,Side Collision,Police
C0958,14000,0.05,0.1,11,410,1600,18,61,0,0,0,0,1,3000,YES,Minor Damage,Rear Collision,Police
C0959,14000,0.05,0.1,11,410,1600,18,61,0,0,0,0,1,3000,YES,Minor Damage,Rear Collision,Police
C0960,52000,0.3,0.3,21,60,950,9,39,5000,0,1000000,1,2,540,NO,Major Damage,Front Collision,Fire
C0961,26000,0.1,0.2,8,180,1300,11,47,0,0,0,1,1,1500,YES,Minor Damage,Rear Collision,Police
C0962,58000,0.35,0.3,18,140,1050,7,36,0,-10000,1000000,1,2,540,YES,Major Damage,Rear Collision,Police
C0963,18000,0.05,0.2,14,220,1200,8,42,0,0,0,0,1,1500,YES,Minor Damage,Rear Collision,Police
C0964,97000,0.3,0.55,3,14,650,1,23,0,-20000,10000000,3,2,90,NO,Total Loss,Side Collision,Ambulance
C0965,14000,0.05,0.1,11,410,1600,18,61,0,0,0,0,1,3000,YES,Minor Damage,Rear Collision,Police
C0966,7000,0.0,0.05,15,500,2000,25,70,0,0,0,0,1,3000,YES,Trivial Damage,Rear Collision,Police
C0967,88000,0.25,0.55,4,18,750,4,26,0,-30000,10000000,2,2,270,NO,Total Loss,Side Collision,Police
C0968,52000,0.3,0.3,21,60,950,9,39,5000,0,1000000,1,2,540,NO,Major Damage,Front Collision,Fire
C0969,75000,0.35,0.4,23,36,900,3,29,0,-15000,1000000,2,2,270,NO,Major Damage,Side Collision,Police
C0970,98000,0.1,0.7,2,12,600,1,21,0,0,0,3,1,90,NO,Total Loss,Front Collision,
C0971,100000,0.2,0.65,1,6,700,0,19,0,0,10000000,2,1,90,NO,Total Loss,Front Collision,
C0972,18000,0.05,0.2,14,220,1200,8,42,0,0,0,0,1,1500,YES,Minor Damage,Rear Collision,Police
C0973,16000,0.05,0.15,13,260,1500,13,50,0,0,0,0,1,1500,YES,Minor Damage,Side Collision,Police
C0974,52000,0.3,0.3,21,60,950,9,39,5000,0,1000000,1,2,540,NO,Major Damage,Front Collision,Fire
C0975,60000,0.35,0.3,16,110,1000,6,40,0,-8000,1000000,1,2,540,YES,Major Damage,Rear Collision,Police
C0976,97000,0.3,0.55,3,14,650,1,23,0,-20000,10000000,3,2,90,NO,Total Loss,Side Collision,Ambulance
C0977,7000,0.0,0.05,15,500,2000,25,70,0,0,0,0,1,3000,YES,Trivial Damage,Rear Collision,Police
C0978,14000,0.05,0.1,11,410,1600,18,61,0,0,0,0,1,3000,YES,Minor Damage,Rear Collision,Police
C0979,100000,0.2,0.65,1,6,700,0,19,0,0,10000000,2,1,90,NO,Total Loss,Front Collision,
C0980,100000,0.2,0.65,1,6,700,0,19,0,0,10000000,2,1,90,NO,Total Loss,Front Collision,
C0981,98000,0.1,0.7,2,12,600,1,21,0,0,0,3,1,90,NO,Total Loss,Front Collision,
C0982,18000,0.05,0.2,14,220,1200,8,42,0,0,0,0,1,1500,YES,Minor Damage,Rear Collision,Police
C0983,60000,0.35,0.3,16,110,1000,6,40,0,-8000,1000000,1,2,540,YES,Major Damage,Rear Collision,Police
C0984,21000,0.1,0.15,7,310,1350,15,58,0,0,0,1,1,3000,YES,Minor Damage,Rear Collision,Police
C0985,8000,0.0,0.1,10,490,1900,24,68,0,0,0,0,1,3000,YES,Trivial Damage,Rear Collision,Police
C0986,22000,0.15,0.15,9,300,1400,14,55,0,-5000,0,1,2,3000,YES,Minor Damage,Rear Collision,Police
C0987,88000,0.25,0.55,4,18,750,4,26,0,-30000,10000000,2,2,270,NO,Total Loss,Side Collision,Police
C0988,100000,0.2,0.65,1,6,700,0,19,0,0,10000000,2,1,90,NO,Total Loss,Front Collision,
C0989,100000,0.2,0.65,1,6,700,0,19,0,0,10000000,2,1,90,NO,Total Loss,Front Collision,
C0990,100000,0.2,0.65,1,6,700,0,19,0,0,10000000,2,1,90,NO,Total Loss,Front Collision,
C0991,82000,0.4,0.35,22,48,880,5,33,12000,0,5000000,2,2,540,NO,Major Damage,Front Collision,Fire
C0992,14000,0.05,0.1,11,410,1600,18,61,0,0,0,0,1,3000,YES,Minor Damage,Rear Collision,Police
C0993,60000,0.35,0.3,16,110,1000,6,40,0,-8000,1000000,1,2,540,YES,Major Damage,Rear Collision,Police
C0994,58000,0.35,0.3,18,140,1050,7,36,0,-10000,1000000,1,2,540,YES,Major Damage,Rear Collision,Police
C0995,18000,0.05,0.2,14,220,1200,8,42,0,0,0,0,1,1500,YES,Minor Damage,Rear Collision,Police
C0996,88000,0.25,0.55,4,18,750,4,26,0,-30000,10000000,2,2,270,NO,Total Loss,Side Collision,Police
C0997,91000,0.45,0.35,0,24,850,2,31,0,-45000,5000000,3,3,270,NO,Major Damage,Side Collision,Ambulance
C0998,75000,0.35,0.4,23,36,900,3,29,0,-15000,1000000,2,2,270,NO,Major Damage,Side Collision,Police
C0999,98000,0.1,0.7,2,12,600,1,21,0,0,0,3,1,90,NO,Total Loss,Front Collision,
